state,fips,state_abb,year,secondary,adj_primary,adj_secondary_primary,primary,violentcrimerate_ce,propcrimerate_ce,pctblack,pcthisp,medinc,age,dieseltax,gastax,state_abbrev,fatal,fatal_occupant,fatal_non_occupant,vmt_rural,vmt_urban,vmt_total,rate_occupant,rate_non_occupant,speed65,speed70,mlda21,bac8,rearsecondary,mv_registrations,rural_miles,urban_miles,rate,secondary_primary,unemprate,automobiles,buses,trucks,total,motorcycle,urban_den,rural_den,ln_pctblack,ln_pcthisp,ln_medinc,ln_age,ln_gastax,ln_violentcrimerate,ln_propcrimerate,ln_unemprate,ln_ruralvmt,ln_urbanvmt,ln_ruralden,ln_urbanden,adj_occrate,adj_nonoccrate,ln_adjocrat,ln_adjnonocrat
ohio,39,OH,1986,1,0,0,0,1.862,39.377998,10.154427,1.1649017,14771,34.318974,12,12,OH,1673,1452,221,33501,43752,77253,18.795387,2.8607304,0,0,0,0,0,8159171,82349,30939,,0,8.316666666666668,6388738,31138,1739295,8159171,292863,206.49464,77.581245,2.3179097,.15263674,9.600421,3.5356984,2.4849067,.62165117,3.6732073,2.1182616,10.419331,10.686293,4.3513255,5.3302746,.018795388,.0028607305,-3.9741437,-5.8566785
oklahoma,40,OK,1986,0,0,0,0,1.51,55.777,6.9886022,2.2753732,13491,33.995174,10,10,OK,698,628,70,15832,15001,30833,20.367788,2.2702949,0,0,1,0,0,2902391,98595,12406,,0,8.316666666666666,1845133,12251,1045007,2902391,69281,148.72908,18.714266,1.9442805,.82214409,9.509778,3.5262187,2.3025851,.41210964,4.0213618,2.1182616,9.6697884,9.6158724,2.929286,5.0021262,.020367788,.0022702948,-3.8938007,-6.0878458
oregon,41,OR,1986,0,0,0,0,2.6360002,65.309998,1.5087353,3.2021945,14243,34.713249,11,11,OR,619,537,82,12417,10324,22741,23.613737,3.6058221,0,0,1,1,0,2263989,86088,8490,,0,7.925000000000001,1477595,9362,777032,2263989,82073,174.03946,17.163774,.41127175,1.1638364,9.5640211,3.5471215,2.3978953,.96926266,4.1791453,2.0700223,9.4268217,9.2422266,2.8428011,5.1592822,.023613738,.0036058221,-3.7459266,-5.6252055
pennsylvania,42,PA,1986,0,0,0,0,1.827,27.433001,8.9083014,1.6095824,15031,36.249283,12,12,PA,1894,1616,278,34809,42827,77636,20.815086,3.5808129,0,0,1,0,0,7477017,86595,29068,,0,6.983333333333333,5789836,28560,1658621,7477017,208156,199.18246,66.861092,2.1869836,.47597477,9.6178703,3.5904195,2.4849067,.60267532,3.3117466,1.9435264,10.457631,10.664924,4.2026172,5.2942214,.020815086,.0035808128,-3.8720772,-5.6321654
rhode island,44,RI,1986,0,0,0,0,1.4360001,45.669998,3.6976702,3.3938732,15811,36.073166,15,15,RI,124,91,33,945,4484,5429,16.761835,6.0784674,0,0,1,0,0,631818,1620,4377,,0,4.075,532533,1562,97723,631818,25714,121.66621,328.72406,1.3077029,1.2219719,9.6684608,3.5855494,2.7080503,.36186156,3.8214417,1.4048707,6.8511848,8.4082708,5.7952185,4.8012815,.016761836,.0060784672,-4.0886507,-5.1030025
south carolina,45,SC,1986,0,0,0,0,1.494,44.627998,29.278883,.90624458,12377,32.866657,13,13,SC,1059,900,159,17896,10354,28250,31.858408,5.6283188,0,0,1,0,0,2304208,53982,9314,,0,6.366666666666666,1767958,13360,522890,2304208,36234,189.81726,32.750881,3.3768666,-.098446056,9.4235954,3.4924586,2.5649493,.40145707,3.7983615,1.851076,9.7923326,9.2451286,3.48893,5.2460618,.031858407,.005628319,-3.446454,-5.1799445
south dakota,46,SD,1986,0,0,0,0,.37900001,25.912001,.41061068,.62255824,12711,34.134235,13,13,SD,134,118,16,4871,1367,6238,18.916319,2.5649247,0,0,0,0,0,664060,71743,1725,,0,4.633333333333334,426260,1991,235809,664060,36117,247.10724,5.9414854,-.89010978,-.47391811,9.450223,3.5303009,2.5649493,-.97021908,3.2547061,1.5332766,8.4910545,7.2203736,1.7819592,5.5098224,.018916318,.0025649248,-3.9677303,-5.965826
tennessee,47,TN,1986,1,0,0,0,2.651,39.945999,15.394625,.66721463,12918,34.468185,15,17,TN,1230,1088,142,19312,20209,39521,27.529667,3.5930264,0,0,1,0,0,3932220,69382,14469,,0,7.899999999999999,2859378,12499,1060343,3932220,114234,197.62099,41.212101,2.7340183,-.40464351,9.4663773,3.5400367,2.8332133,.97493696,3.6875286,2.0668628,9.8684816,9.9138832,3.7187319,5.2863512,.027529666,.0035930264,-3.5924911,-5.6287603
texas,48,TX,1986,0,1,0,1,3.05,67.491997,11.773392,23.121252,14427,31.919098,10,10,TX,3567,2953,614,51876,96472,148348,19.905897,4.1389165,0,0,1,0,0,12406608,212461,73501,,0,8.75,8286417,55360,4064831,12406608,252382,112.73883,39.00206,2.465842,3.1407523,9.5768566,3.4632046,2.3025851,1.1151416,4.212009,2.1690538,10.856611,11.477008,3.6636145,4.7250738,.019905897,.0041389163,-3.9167392,-5.4873214
utah,49,UT,1986,1,0,0,0,.87099999,52.117001,.6503582,4.4944267,12053,28.347761,14,14,UT,313,261,52,4694,7552,12246,21.313082,4.2462845,0,0,1,1,0,1110633,44642,5296,,0,6.158333333333334,718864,1141,390628,1110633,50180,135.73717,16.102863,-.43023199,1.5028381,9.397069,3.344548,2.6390574,-.1381133,3.9534912,1.8178061,8.4540405,8.9295673,2.7789972,4.9107203,.021313082,.0042462843,-3.8484342,-5.4617109
vermont,50,VT,1986,0,0,0,0,.46000001,38.277,.29341382,.61567169,14182,33.821629,14,13,VT,109,97,12,3661,1117,4778,20.301382,2.5115111,0,0,1,0,0,418191,13085,964,,0,4.316666666666666,294459,1360,122372,418191,20818,305.45538,22.503553,-1.2261714,-.48504141,9.5597286,3.5211005,2.5649493,-.77652878,3.6448493,1.4624835,8.205492,7.0184016,3.1136732,5.7218037,.020301383,.0025115111,-3.8970664,-5.9868708
virginia,51,VA,1986,0,0,0,0,1.393,35.537998,18.472227,2.1117582,16577,33.651764,15,15,VA,1126,977,149,24075,27651,51726,18.887987,2.880563,0,0,1,0,0,4531780,51478,14324,,0,4.95,3480937,14648,1036195,4531780,79346,243.01431,67.619896,2.9162683,.74752086,9.7157717,3.5160654,2.7080503,.3314597,3.5706024,1.5993875,10.088929,10.227417,4.2139025,5.4931202,.018887987,.002880563,-3.9692292,-5.8497696
washington,53,WA,1986,1,0,0,0,1.9349999,64.426003,2.8385286,3.5905521,15917,33.812477,18,18,WA,703,601,102,14339,21654,35993,16.697691,2.8338845,0,0,1,0,0,3752242,65039,15439,,0,8.091666666666667,2629002,7770,1115470,3752242,141911,170.28317,40.421932,1.0432858,1.278306,9.6751432,3.5208299,2.8903718,.66010731,4.1655173,2.0908346,9.5707388,9.9829454,3.6993725,5.1374626,.016697692,.0028338844,-4.092485,-5.866107
west virginia,54,WV,1986,0,0,0,0,.65800005,21.521999,3.1813796,.52985555,11295,35.23774,15.35,15.35,WV,440,403,37,9526,3655,13181,30.574312,2.8070707,0,0,1,0,0,1170138,32173,2970,,0,12.05833333333334,757922,2639,409577,1170138,32757,255.1926,23.557703,1.1573149,-.63515085,9.3321152,3.5621176,2.7311156,-.41855028,3.0690756,2.4897559,9.1617804,8.2038517,3.1594529,5.5420184,.030574312,.0028070707,-3.4875951,-5.8756137
wisconsin,55,WI,1986,0,0,0,0,.95999998,38.389,4.3797317,1.6003301,14702,34.319981,17.5,17.5,WI,747,668,79,19930,18498,38428,17.383158,2.0557926,0,0,1,0,0,3120026,94595,14072,,0,6.783333333333334,2355841,12128,752057,3120026,191422,167.41338,24.904499,1.4769875,.47020993,9.5957384,3.5357277,2.862201,-.040822018,3.6477709,1.9144686,9.8999815,9.8254175,3.2150486,5.1204662,.017383158,.0020557926,-4.0522532,-6.1870937
wyoming,56,WY,1986,0,0,0,0,.49700001,40.640999,.73013562,5.322813,14387,31.177742,8,8,WY,168,155,13,4051,1322,5373,28.847944,2.4195049,0,0,0,0,0,440155,37144,1787,,0,8.608333333333333,231594,2404,231486,465484,21605,129.59933,6.2350311,-.31452498,1.672002,9.5740805,3.4397044,2.0794415,-.69916523,3.7047775,2.1527307,8.3067188,7.1869011,1.8301836,4.8644476,.028847944,.0024195048,-3.5457165,-6.0241923
alabama,1,AL,1987,0,0,0,0,1.493,38.922001,24.688799,.65331531,12864,34.381821,14,13,AL,1111,1020,91,20120,17317,37437,27.245773,2.4307504,1,0,1,0,0,3546583,73493,14673,,0,8.183333333333332,2590443,8402,947738,3546583,55291,176.54488,35.247478,3.2063496,-.42569542,9.4621878,3.537528,2.5649493,.40078753,3.6615596,2.1020997,9.9094696,9.7594442,3.5623939,5.1735749,.027245773,.0024307503,-3.6028569,-6.0195551
alaska,2,AK,1987,0,0,0,0,1.482,49.221001,3.9546266,2.8998072,19688,27.912392,8,8,AK,76,58,18,2123,1777,3900,14.871795,4.6153846,0,0,1,0,0,357401,10360,1722,,0,10.14166666666667,187926,2048,167427,357401,9065,109.1324,18.139576,1.3748862,1.0646442,9.8877649,3.3290708,2.0794415,.39339253,3.8963203,2.3166523,7.6605854,7.4826818,2.8980961,4.6925616,.014871795,.0046153846,-4.2082887,-5.3783603
arizona,4,AZ,1987,0,0,0,0,1.8710001,65.760002,2.9645021,17.202351,15280,33.969273,16,16,AZ,939,769,170,13367,18362,31729,24.236504,5.3578744,1,0,1,0,0,2417057,66517,11206,,0,6.508333333333333,1804908,4203,834326,2643437,65211,161.06621,27.134537,1.0867091,2.845046,9.6343002,3.5254564,2.7725887,.62647307,4.1860118,1.8730834,9.5005445,9.8180389,3.3008072,5.0818157,.024236504,.0053578746,-3.7198954,-5.229188
arkansas,5,AR,1987,0,0,0,0,1.1930001,38.332001,15.567656,.78705734,12139,35.424133,12.5,13.5,AR,639,578,61,11829,6477,18306,31.574347,3.3322408,1,0,1,0,0,1444991,69457,7630,,0,8.141666666666666,953887,5257,485847,1444991,20077,125.01795,13.73349,2.7451954,-.23945418,9.4041786,3.5673933,2.6026897,.1764712,3.6462851,2.0969949,9.3783092,8.7760124,2.6198373,4.8284574,.031574346,.0033322407,-3.4554102,-5.7041101
california,6,CA,1987,1,0,0,0,3.5570002,55.883999,7.5422668,22.938602,18482,33.245911,9,9,CA,5504,4398,1106,47932,178369,226301,19.434294,4.8872962,1,0,1,0,0,20293984,90546,68386,,0,5.824999999999999,14629229,36986,5627769,20293984,685713,213.9214,161.56682,2.0205228,3.1328211,9.8245525,3.5039318,2.1972246,1.2689176,4.0232782,1.762159,10.777538,12.09161,5.084919,5.3656087,.019434294,.0048872964,-3.940716,-5.321116
colorado,8,CO,1987,1,0,0,0,1.6539999,59.838001,3.9294112,12.129772,16685,32.716133,20.5,18,CO,591,510,81,10497,16471,26968,18.911303,3.0035598,1,0,1,0,0,3033354,65653,11077,,0,7.541666666666665,2068591,5579,959184,3033354,113183,186.74651,31.507944,1.3684896,2.4956629,9.7222652,3.4878683,2.8903718,.50319654,4.0916409,2.0204432,9.2588444,9.7093563,3.4502397,5.2297521,.018911302,.0030035598,-3.9679956,-5.8079572
connecticut,9,CT,1987,0,1,0,1,2.079,45.766998,7.7838264,5.4852819,21693,35.868958,19,19,CT,449,373,76,6129,18869,24998,14.921194,3.0402431,0,0,1,0,0,2612049,8949,10772,,0,3.133333333333333,2167025,8644,436380,2612049,61073,201.17203,242.15276,2.052048,1.7020684,9.984745,3.5798721,2.9444389,.73188698,3.8235633,1.1420974,8.720787,9.8452759,5.4895687,5.3041606,.014921194,.0030402432,-4.2049727,-5.7958179
delaware,10,DE,1987,0,0,0,0,1.9610001,45.081001,16.274923,2.0827103,17575,34.333134,16,16,DE,146,122,24,2777,3309,6086,20.046007,3.9434769,0,0,1,0,0,490494,3793,1548,,0,3.033333333333333,373340,1800,115354,490494,8928,241.1757,98.428688,2.7896254,.73367006,9.7742329,3.5361109,2.7725887,.67345458,3.808461,1.1096622,7.9291263,8.1044016,4.5893321,5.4855256,.020046007,.0039434768,-3.9097252,-5.5356927
district of columbia,11,DC,1987,1,0,0,0,7.9299998,68.413002,66.657921,4.4704413,20534,35.386879,15.5,15.5,DC,53,24,29,0,3368,3368,7.1258907,8.6104517,0,0,1,0,0,267851,0,1102,,0,6.266666666666668,245852,2805,19194,267851,2926,223.09619,0,4.199574,1.4974872,9.9298372,3.5663412,2.74084,2.070653,4.225563,1.8352445,0,8.1220741,0,5.4076033,.0071258908,.0086104516,-4.9440207,-4.7547784
florida,12,FL,1987,1,0,0,0,4.1820002,74.787003,12.878057,10.897615,16436,38.21413,14.7,9.699999999999999,FL,2839,2138,701,29286,63578,92864,23.022915,7.5486732,1,0,1,0,0,10683590,68398,32025,,0,5.399999999999999,8095424,34845,2553321,10683590,219521,252.78452,118.35761,2.5555248,2.3885441,9.7072296,3.6432054,2.272126,1.4307896,4.3146443,1.686399,10.284864,11.060022,4.7737107,5.5325375,.023022914,.0075486731,-3.7712653,-4.8863835
georgia,13,GA,1987,0,0,0,0,2.641,52.154999,26.465538,1.4703382,14888,32.865692,7.5,7.5,GA,1599,1360,239,27649,32644,60293,22.556515,3.9639759,0,0,1,0,0,5026220,86594,20173,,0,5.558333333333334,3698762,16938,1310520,5026220,82850,183.35211,42.713837,3.2758434,.38549247,9.6083107,3.4924293,2.0149031,.97115767,3.9542201,1.7152983,10.227345,10.393416,3.7545228,5.2114086,.022556515,.0039639757,-3.7917314,-5.5305076
hawaii,15,HI,1987,0,1,0,1,1.391,55.547001,2.3474472,6.6544452,17435,33.259609,11,11,HI,139,101,38,2202,5016,7218,13.992796,5.264616,0,0,1,0,0,689745,2675,1395,,0,3.7,539334,4152,146259,689745,20463,386.61935,201.62019,.85332841,1.8952851,9.7662354,3.5043437,2.3978953,.33002293,4.0172296,1.3083328,7.6971211,8.5203876,5.3063855,5.9574409,.013992796,.0052646161,-4.2692127,-5.246747
idaho,16,ID,1987,1,0,0,0,.44799998,39.421001,.32439941,4.6662035,12918,32.611931,14.5,14.5,ID,260,241,19,5672,2447,8119,29.683458,2.3401897,1,0,1,0,0,947254,69253,2386,,0,7.625,560233,3366,383655,947254,45900,234.80008,8.0896568,-1.1257797,1.5403458,9.4663773,3.4846783,2.6741486,-.80296206,3.6742988,2.0314324,8.6432972,7.802618,2.0905864,5.4587345,.029683458,.0023401896,-3.5171654,-6.0575233
illinois,17,IL,1987,1,0,0,0,3.6099999,46.202999,14.382531,6.9373341,17310,34.291782,15.5,13,IL,1654,1309,345,23769,51987,75756,17.27916,4.5540948,1,0,1,0,0,7662322,103842,31468,,0,7.466666666666666,6139655,18660,1504007,7662322,242761,195.10789,59.124969,2.6660144,1.9369175,9.7590399,3.5349057,2.5649493,1.2837077,3.8330448,2.0104487,10.076138,10.858749,4.0796533,5.2735529,.017279159,.0045540947,-4.0582542,-5.3917284
indiana,18,IN,1987,1,0,0,0,1.233,37.912998,7.4664116,1.644819,14664,34.313694,15,14,IN,1055,940,115,21657,21986,43643,21.538391,2.635016,1,0,1,0,0,3707851,73833,17702,,0,6.133333333333333,2648578,19268,1040005,3707851,104909,149.62027,35.872551,2.0104146,.49763036,9.5931511,3.5355446,2.6390574,.20945026,3.635294,1.8137383,9.9830837,9.9981613,3.5799725,5.0081005,.021538392,.0026350159,-3.8379183,-5.9388661
iowa,19,IA,1987,0,1,0,1,.50200003,39.09,1.5570903,1.0325629,14954,35.757355,18.5,16,IA,491,453,38,13216,7592,20808,21.770473,1.8262206,1,0,1,0,0,2699427,103840,8632,,0,5.616666666666666,1874735,8398,816294,2699427,218000,217.18431,18.054073,.44281888,.032043919,9.6127338,3.576756,2.7725887,-.6891551,3.6658666,1.7257384,9.4891834,8.9348507,2.8933713,5.3807464,.021770474,.0018262207,-3.8272007,-6.3055067
kansas,20,KS,1987,1,0,0,0,1.191,45.431,5.5343041,3.3044734,15805,34.757229,13,11,KS,491,460,31,11496,9065,20561,22.372452,1.5077088,1,0,1,0,0,2188039,124073,8858,,0,4.816666666666667,1452119,3832,732088,2188039,84997,163.93306,11.703747,1.7109659,1.1952771,9.6680813,3.5483875,2.3978953,.17479327,3.8161948,1.5720822,9.3497543,9.1121759,2.459909,5.0994582,.022372453,.0015077088,-3.7999249,-6.4971642
kentucky,21,KY,1987,0,0,0,0,1.1869999,29.322001,6.9323554,.61544526,12624,34.300087,12,15,KY,844,732,112,17604,12716,30320,24.142481,3.6939313,1,0,1,0,0,2720197,62078,7551,,0,8.274999999999999,1891971,9712,818514,2720197,38821,250.55901,30.47732,1.9361997,-.48540929,9.4433546,3.5351479,2.7080503,.17142905,3.3783381,2.1132388,9.7758818,9.4506159,3.4169829,5.5236945,.024142481,.0036939313,-3.7237823,-5.6010642
louisiana,22,LA,1987,1,0,0,0,2.26,51.801998,29.759581,2.1996198,12415,32.310741,16,16,LA,826,655,171,16724,13555,30279,21.632154,5.6474786,1,0,1,0,0,2891234,46061,12211,,0,11.825,1998116,19448,873670,2891234,44154,163.63246,43.37978,3.393151,.78828454,9.4266605,3.4753997,2.7725887,.81536484,3.9474287,2.470216,9.7245998,9.5145111,3.7699935,5.0976229,.021632154,.0056474786,-3.8335745,-5.1765461
maine,23,ME,1987,0,0,0,0,.43799999,33.800999,.37386224,.50222427,14766,35.144958,14,14,ME,232,202,30,7845,2921,10766,18.762772,2.7865503,1,0,1,0,0,927815,19550,2414,,0,4.366666666666666,627092,2721,298002,927815,43849,259.77298,32.076317,-.98386788,-.68870848,9.6000824,3.5594811,2.6390574,-.82553637,3.5204904,1.474,8.9676313,7.9796815,3.468118,5.5598083,.018762771,.0027865502,-3.9758806,-5.8829508
maryland,24,MD,1987,1,0,0,0,3.395,47.098,23.78898,2.2382638,19276,34.158344,18.5,18.5,MD,814,653,161,12293,24200,36493,17.893843,4.4118052,0,0,1,0,0,3308621,16129,11836,,0,4.308333333333333,2618608,10929,679084,3308621,55970,221.24097,162.35402,3.1692224,.80570048,9.8666162,3.5310068,2.9177706,1.2223037,3.8522305,1.4605511,9.4167852,10.094108,5.0897794,5.3992524,.017893843,.004411805,-4.0232987,-5.4234715
massachusetts,25,MA,1987,0,0,0,0,2.122,41.692001,4.9061985,3.8867321,19552,35.611275,11,11,MA,689,535,154,7929,34376,42305,12.646259,3.6402316,0,0,1,0,0,3886852,13203,20604,,0,3.341666666666667,3231722,11131,643999,3886852,111870,156.84926,244.77179,1.5904994,1.3575687,9.8808327,3.5726624,2.3978953,.75235903,3.7303092,1.2064697,8.978282,10.445114,5.5003262,5.055285,.01264626,.0036402317,-4.3703938,-5.6157079
michigan,26,MI,1987,1,0,0,0,3.559,56.766998,13.299126,1.9526796,16061,33.937393,15,15,MI,1602,1334,268,31038,44668,75706,17.620796,3.54001,0,0,1,0,0,6944666,91120,26683,,0,8.391666666666667,5163792,22183,1758691,6944666,230235,193.52367,56.670238,2.5876982,.66920263,9.6841488,3.5245175,2.7080503,1.2694796,4.0389552,2.1272392,10.342968,10.707012,4.0372491,5.2653999,.017620796,.00354001,-4.0386753,-5.6436257
minnesota,27,MN,1987,1,0,0,0,1.39,43.304001,1.8997921,1.0423814,16878,34.165539,17,17,MN,530,453,77,16531,18636,35167,12.881394,2.1895528,1,0,1,0,0,3171781,118776,14067,,0,5.083333333333333,2279549,14062,878170,3171781,147271,162.04941,19.191999,.64174443,.041507907,9.7337666,3.5312176,2.8332133,.32930374,3.768245,1.6259673,9.7129927,9.8328505,2.9544935,5.0879011,.012881394,.0021895529,-4.3519711,-6.1240578
mississippi,28,MS,1987,0,0,0,0,.96399999,31.688,34.545757,.69105637,10942,33.062115,15,15,MS,756,677,79,13522,6651,20173,33.559708,3.9161255,1,0,1,0,0,1760866,64940,7125,,0,10.05,1231138,8244,521484,1760866,24492,172.79131,18.958084,3.5422847,-.36953387,9.3003635,3.4983881,2.7080503,-.036663998,3.4559381,2.3075726,9.5120735,8.8025227,2.9422305,5.1520844,.033559706,.0039161257,-3.3944292,-5.5426526
missouri,29,MO,1987,1,0,0,0,2.013,41.627998,10.361586,1.1049674,15296,35.256405,11,11.03,MO,1045,934,111,20922,22457,43379,21.531157,2.5588419,1,0,1,0,0,3712428,104385,15297,,0,6.250000000000001,2684238,10114,1018076,3712428,72500,175.47479,25.714787,2.3381052,.099815793,9.6353464,3.5626471,2.4006188,.69962615,3.7287729,1.8325815,9.9485569,10.019358,3.2470663,5.1674953,.021531157,.0025588418,-3.8382542,-5.9682007
montana,30,MT,1987,0,0,0,0,.48099998,44.481998,.27327949,1.3609003,12916,34.076309,20,20,MT,234,212,22,5949,2125,8074,26.257122,2.7247956,1,0,1,0,0,649762,69395,2416,,0,7.466666666666666,360771,1864,287127,649762,25491,149.32574,5.1988039,-1.2972603,.30814645,9.4662218,3.5286024,2.9957323,-.73188806,3.7950845,2.0104487,8.6909781,7.6615272,1.6484286,5.0061302,.026257122,.0027247956,-3.639818,-5.9053617
nebraska,31,NE,1987,0,0,0,0,.72199994,38.804001,3.3395503,2.0735972,15362,34.802597,17.9,17.9,NE,297,279,18,8279,4812,13091,21.312351,1.3749905,1,0,1,0,0,1304946,87445,4956,,0,4.208333333333333,864277,4515,436154,1304946,31184,174.39003,9.8836641,1.2058362,.72928488,9.6396523,3.5496919,2.8848007,-.3257302,3.6585233,1.4370667,9.0214777,8.4788685,2.2908833,5.1612945,.02131235,.0013749904,-3.8484685,-6.5893083
nevada,32,NV,1987,1,0,0,0,3.427,56.757,6.2302413,8.9764833,17075,33.995991,17,16,NV,262,212,50,3673,4723,8396,25.250118,5.9552169,1,0,1,0,0,811970,41509,3245,,0,6.2,545697,1748,264525,811970,18234,168.16548,13.146474,1.8294151,2.1946082,9.7453709,3.5262425,2.7725887,1.2316853,4.0387788,1.8245493,8.2087641,8.4601994,2.5761535,5.1249485,.025250118,.0059552169,-3.6789243,-5.1234875
new hampshire,33,NH,1987,0,0,0,0,.56099999,32.221001,.58228135,.86639935,18365,34.209724,14,14,NH,179,161,18,5622,3545,9167,17.562998,1.963565,1,0,1,0,0,874011,12220,2391,,0,2.208333333333333,628726,1645,243640,874011,34843,262.95526,51.450573,-.54080153,-.14340934,9.818202,3.53251,2.6390574,-.5780344,3.4726183,.79223806,8.6344423,8.1732931,3.9406216,5.5719838,.017562998,.0019635649,-4.0419607,-6.2329936
new jersey,34,NJ,1987,1,0,0,0,2.7079999,47.205002,12.932007,8.4033165,20251,35.800236,11,8,NJ,1023,777,246,10597,46474,57071,13.61462,4.3104205,0,0,1,0,0,5519757,11628,22413,,0,4.033333333333334,4608732,16201,894824,5519757,59082,205.62762,396.34778,2.5597055,2.1286263,9.9159594,3.5779545,2.0794415,.99621034,3.8544998,1.3945931,9.2683258,10.746648,5.9822922,5.326067,.01361462,.0043104207,-4.2966108,-5.4467196
new mexico,35,NM,1987,0,1,0,1,1.615,59.182999,1.9979556,36.955803,13059,32.206696,16,14,NM,568,468,100,8234,6882,15116,30.960571,6.6155066,1,0,1,0,0,1284706,49157,4592,,0,8.924999999999999,801040,3382,480284,1284706,41407,174.4425,16.295544,.69212443,3.6097226,9.4772329,3.4721744,2.6390574,.47933495,4.0806341,2.1888564,9.0160275,8.8366642,2.7908916,5.1615953,.030960571,.0066155065,-3.4750407,-5.0183387
new york,36,NY,1987,0,1,0,1,5.4570003,49.443001,15.765781,11.001358,19064,35.457668,10,8,NY,2339,1667,672,28953,69049,98002,17.009857,6.8570027,0,0,1,0,0,9592732,72957,37364,,0,4.791666666666667,8031319,27622,1533791,9592732,229089,214.94806,110.08291,2.7578418,2.3980188,9.8555574,3.5683396,2.0794415,1.6968992,3.9008205,1.5668783,10.273429,11.142571,4.7012339,5.3703966,.017009858,.0068570026,-4.0739622,-4.9824848
north carolina,37,NC,1987,0,1,0,1,1.3110001,41.659,21.49028,1.0591737,14349,34.451138,15.5,15.5,NC,1584,1332,252,29636,24964,54600,24.395605,4.6153846,1,0,1,0,0,4870224,74928,18306,,0,4.558333333333333,3516954,32883,1320387,4870224,62786,192.12029,46.937778,3.0676007,.057489078,9.5714359,3.539542,2.74084,.27079028,3.7295175,1.516957,10.296745,10.12519,3.8488228,5.2581215,.024395606,.0046153846,-3.7133522,-5.3783603
north dakota,38,ND,1987,0,0,0,0,.185,27.761999,.49733153,.65358126,13814,33.956654,17,13,ND,101,90,11,4175,1506,5681,15.842281,1.9362788,1,0,1,0,0,650458,84456,1747,,0,4.949999999999999,377154,2267,271037,650458,25883,215.88666,4.4656863,-.69849843,-.42528841,9.5334377,3.5250847,2.5649493,-1.6873994,3.3236682,1.5993875,8.3368692,7.3172126,1.4964229,5.3747535,.015842281,.0019362788,-4.1450729,-6.2469873
ohio,39,OH,1987,1,0,0,0,1.988,41.540001,10.218497,1.1822413,15436,34.680584,14.7,14.7,OH,1772,1544,228,33999,45158,79157,19.505539,2.8803518,1,0,1,0,0,8521397,81041,31113,,0,7.108333333333333,6616121,31536,1873740,8521397,278397,212.64812,81.639183,2.3241994,.16741206,9.6444578,3.54618,2.6878474,.68712914,3.7266569,1.9612678,10.434087,10.717923,4.4023094,5.3596387,.019505538,.0028803519,-3.9370568,-5.849843
oklahoma,40,OK,1987,1,0,0,0,1.528,56.080002,7.0498853,2.3642352,13630,34.374554,13,16,OK,597,532,65,16192,15414,31606,16.832247,2.0565715,1,0,1,0,0,2887478,98748,12334,,0,7.158333333333332,1650477,12480,863465,2526422,69532,133.81523,16.714029,1.9530114,.86045456,9.5200281,3.5373166,2.7725887,.4239597,4.0267792,1.9682772,9.6922722,9.6430311,2.8162484,4.8964601,.016832247,.0020565714,-4.0844588,-6.1867151
oregon,41,OR,1987,0,0,0,0,2.474,64.293999,1.5215452,3.3358116,14881,35.214355,12,12,OR,619,535,84,13676,9656,23332,22.929882,3.6002057,1,0,1,1,0,2242656,85308,8527,,0,6.158333333333334,1461241,9635,771780,2242656,79666,171.36636,17.129004,.41972637,1.204716,9.6078405,3.5614538,2.4849067,.90583628,4.1634665,1.8178061,9.5233974,9.1753349,2.8407731,5.1438036,.022929883,.0036002058,-3.7753143,-5.6267643
pennsylvania,42,PA,1987,0,0,0,0,1.76,27.938999,8.9807253,1.6724378,15885,36.506622,12,12,PA,1987,1697,290,35225,43401,78626,21.583191,3.6883473,0,0,1,0,0,7642206,88414,27494,,0,5.75,5832861,29991,1779354,7642206,197629,212.15033,65.972145,2.1950808,.51428229,9.673131,3.5974936,2.4849067,.56531382,3.3300235,1.7491999,10.469511,10.678238,4.1892328,5.357295,.02158319,.0036883473,-3.8358405,-5.6025767
rhode island,44,RI,1987,0,0,0,0,1.3560001,49.257999,3.7990134,3.6375139,16721,36.14185,15,15,RI,113,92,21,935,5068,6003,15.32567,3.498251,0,0,1,0,0,653824,1472,4380,,0,3.7,543120,1590,109114,653824,25566,124,368.96738,1.3347414,1.2913004,9.7244205,3.5874515,2.7080503,.30453923,3.8970718,1.3083328,6.8405466,8.5307016,5.9107084,4.8202815,.01532567,.0034982509,-4.178226,-5.6554923
south carolina,45,SC,1987,0,0,0,0,1.541,44.970001,29.22464,.89108247,13126,33.279713,15,15,SC,1086,931,155,19394,10830,30224,30.803335,5.1283746,1,0,1,0,0,2366144,54104,9316,,0,5.483333333333333,1801514,13633,550997,2366144,32867,193.37849,33.297241,3.3750122,-.1153183,9.4823503,3.5049479,2.7080503,.43243155,3.8059957,1.7017132,9.8727188,9.2900753,3.5054746,5.2646494,.030803336,.0051283748,-3.4801323,-5.2729664
south dakota,46,SD,1987,0,0,0,0,.347,25.583,.42597899,.64499795,13413,34.451874,13,13,SD,134,126,8,4998,1428,6426,19.607843,1.2449424,1,0,0,0,0,673796,71741,1725,,0,4.3,428593,2019,243184,673796,33875,248.45972,5.9741712,-.85336524,-.43850812,9.5039797,3.5395634,2.5649493,-1.0584304,3.2419281,1.4586151,8.5167933,7.26403,1.7874454,5.5152807,.019607844,.0012449424,-3.9318256,-6.6886659
